Network,Metric,Value
Marvel,Hub_Stability,0.9047619047619048
Marvel,Hub_Stability,0.9047619047619048
Marvel,Hub_Stability,1.0
Marvel,Hub_Stability,1.0
Marvel,Hub_Stability,0.9047619047619048
Marvel,Hub_Stability,0.9047619047619048
Marvel,Hub_Stability,0.9047619047619048
Marvel,Hub_Stability,1.0
Marvel,Hub_Stability,1.0
Marvel,Hub_Stability,0.9047619047619048
Marvel,Community_Stability,0.6800856704149729
Marvel,Community_Stability,0.660437046901858
Marvel,Community_Stability,0.6497363628123278
Marvel,Community_Stability,0.6388406995765742
Marvel,Community_Stability,0.7737686247537818
Marvel,Community_Stability,0.6070874219580661
Marvel,Community_Stability,0.5626286105762657
Marvel,Community_Stability,0.6436400820627011
Marvel,Community_Stability,0.6240390234370605
Marvel,Community_Stability,0.5942196679142618
StarWars,Hub_Stability,1.0
StarWars,Hub_Stability,0.9047619047619048
StarWars,Hub_Stability,1.0
StarWars,Hub_Stability,0.9047619047619048
StarWars,Hub_Stability,1.0
StarWars,Hub_Stability,1.0
StarWars,Hub_Stability,1.0
StarWars,Hub_Stability,1.0
StarWars,Hub_Stability,0.9047619047619048
StarWars,Hub_Stability,0.9047619047619048
StarWars,Community_Stability,0.622787237733058
StarWars,Community_Stability,0.6013111321033883
StarWars,Community_Stability,0.498550164314711
StarWars,Community_Stability,0.3435011234913943
StarWars,Community_Stability,0.5872290861192082
StarWars,Community_Stability,0.49770038184277665
StarWars,Community_Stability,0.5260528216913084
StarWars,Community_Stability,0.352868532524539
StarWars,Community_Stability,0.3696322320441813
StarWars,Community_Stability,0.36587465672936137
US_Election,Hub_Stability,1.0
US_Election,Hub_Stability,1.0
US_Election,Hub_Stability,1.0
US_Election,Hub_Stability,1.0
US_Election,Hub_Stability,1.0
US_Election,Hub_Stability,1.0
US_Election,Hub_Stability,1.0
US_Election,Hub_Stability,1.0
US_Election,Hub_Stability,1.0
US_Election,Hub_Stability,1.0
US_Election,Community_Stability,0.22867059393481642
US_Election,Community_Stability,0.2503419506835861
US_Election,Community_Stability,0.18974556678728943
US_Election,Community_Stability,0.22708947120920514
US_Election,Community_Stability,0.223137872011116
US_Election,Community_Stability,0.20160884355816588
US_Election,Community_Stability,0.22693222198965032
US_Election,Community_Stability,0.17141573049094314
US_Election,Community_Stability,0.2861026229400187
US_Election,Community_Stability,0.2423672141754775
AU_Election,Hub_Stability,1.0
AU_Election,Hub_Stability,1.0
AU_Election,Hub_Stability,1.0
AU_Election,Hub_Stability,1.0
AU_Election,Hub_Stability,1.0
AU_Election,Hub_Stability,1.0
AU_Election,Hub_Stability,1.0
AU_Election,Hub_Stability,1.0
AU_Election,Hub_Stability,1.0
AU_Election,Hub_Stability,1.0
AU_Election,Community_Stability,0.14669111367387977
AU_Election,Community_Stability,0.11864588588565543
AU_Election,Community_Stability,0.08715251175750735
AU_Election,Community_Stability,0.13552555420684165
AU_Election,Community_Stability,0.1495893585061631
AU_Election,Community_Stability,0.14312780544520723
AU_Election,Community_Stability,0.1276977438542131
AU_Election,Community_Stability,0.16006221293687262
AU_Election,Community_Stability,0.14069819825609334
AU_Election,Community_Stability,0.13152347493249916
