Network,Metric,Value
Marvel,Hub_Stability,1.0
Marvel,Hub_Stability,1.0
Marvel,Hub_Stability,1.0
Marvel,Hub_Stability,1.0
Marvel,Hub_Stability,1.0
Marvel,Hub_Stability,0.9047619047619048
Marvel,Hub_Stability,1.0
Marvel,Hub_Stability,1.0
Marvel,Hub_Stability,0.9047619047619048
Marvel,Hub_Stability,0.9047619047619048
Marvel,Community_Stability,0.7556042677272483
Marvel,Community_Stability,0.612133922658077
Marvel,Community_Stability,0.7001269710978683
Marvel,Community_Stability,0.6818081594483401
Marvel,Community_Stability,0.6281512498842217
Marvel,Community_Stability,0.6617769141580014
Marvel,Community_Stability,0.6024686883841882
Marvel,Community_Stability,0.6347670223775268
Marvel,Community_Stability,0.6304201881349928
Marvel,Community_Stability,0.6533985400363763
StarWars,Hub_Stability,0.9047619047619048
StarWars,Hub_Stability,1.0
StarWars,Hub_Stability,0.9047619047619048
StarWars,Hub_Stability,0.9047619047619048
StarWars,Hub_Stability,1.0
StarWars,Hub_Stability,1.0
StarWars,Hub_Stability,1.0
StarWars,Hub_Stability,1.0
StarWars,Hub_Stability,0.9047619047619048
StarWars,Hub_Stability,0.9047619047619048
StarWars,Community_Stability,0.5261959226766547
StarWars,Community_Stability,0.43514086262777363
StarWars,Community_Stability,0.38980053432527645
StarWars,Community_Stability,0.36383006146976876
StarWars,Community_Stability,0.32799871007924475
StarWars,Community_Stability,0.523817829306465
StarWars,Community_Stability,0.36587465672936137
StarWars,Community_Stability,0.34453554417747234
StarWars,Community_Stability,0.4472588502973595
StarWars,Community_Stability,0.4645824513758537
US_Election,Hub_Stability,1.0
US_Election,Hub_Stability,1.0
US_Election,Hub_Stability,1.0
US_Election,Hub_Stability,1.0
US_Election,Hub_Stability,1.0
US_Election,Hub_Stability,1.0
US_Election,Hub_Stability,1.0
US_Election,Hub_Stability,1.0
US_Election,Hub_Stability,1.0
US_Election,Hub_Stability,1.0
US_Election,Community_Stability,0.18141815030686226
US_Election,Community_Stability,0.28083642808478054
US_Election,Community_Stability,0.25472510683115707
US_Election,Community_Stability,0.30138085774325063
US_Election,Community_Stability,0.28148874488207337
US_Election,Community_Stability,0.2561578167761752
US_Election,Community_Stability,0.29888313969930214
US_Election,Community_Stability,0.2638541054907886
US_Election,Community_Stability,0.1823421673163922
US_Election,Community_Stability,0.26411203630414243
AU_Election,Hub_Stability,1.0
AU_Election,Hub_Stability,1.0
AU_Election,Hub_Stability,1.0
AU_Election,Hub_Stability,1.0
AU_Election,Hub_Stability,1.0
AU_Election,Hub_Stability,1.0
AU_Election,Hub_Stability,1.0
AU_Election,Hub_Stability,1.0
AU_Election,Hub_Stability,1.0
AU_Election,Hub_Stability,1.0
AU_Election,Community_Stability,0.11279259907708444
AU_Election,Community_Stability,0.15475921727749
AU_Election,Community_Stability,0.08422668126972457
AU_Election,Community_Stability,0.10863321299172435
AU_Election,Community_Stability,0.1427768228520016
AU_Election,Community_Stability,0.12877792118196468
AU_Election,Community_Stability,0.1413727194534091
AU_Election,Community_Stability,0.12197039622234533
AU_Election,Community_Stability,0.13434441319523066
AU_Election,Community_Stability,0.14483806788167747
